Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 189216,     353115,       7632,          0, 46.27,        254
Dom-1   , 95264,     196887,       4925,        576, 39.98,        164
Dom-2   , 57840,     101557,       1773,         85, 57.28,         59
Dom-3   , 31944,      74201,       1212,         34, 61.22,         40
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 173840,     344569,       7275,          0, 47.36,        242
Dom-1   , 87456,     183691,       4539,        572, 40.47,        151
Dom-2   , 56752,     104492,       1852,         94, 56.42,         61
Dom-3   , 29632,      73285,       1108,         35, 66.14,         36
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 179824,     345390,       7538,          0, 45.82,        251
Dom-1   , 95888,     183920,       4969,        583, 37.01,        165
Dom-2   , 51088,     106028,       1653,         82, 64.14,         55
Dom-3   , 32848,      75336,       1158,         35, 65.06,         38
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 176528,     346312,       7200,          0, 48.10,        240
Dom-1   , 88688,     187195,       4568,        545, 40.98,        152
Dom-2   , 52240,      99624,       1670,         81, 59.66,         55
Dom-3   , 35600,      80100,       1196,         35, 66.97,         39
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 177104,     335665,       7232,          0, 46.41,        241
Dom-1   , 86688,     189252,       4500,        553, 42.06,        150
Dom-2   , 56000,     108040,       1750,         84, 61.74,         58
Dom-3   , 34416,      76402,       1212,         36, 63.04,         40
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 182304,     340203,       7125,          0, 47.75,        237
Dom-1   , 80720,     177425,       4139,        513, 42.87,        137
Dom-2   , 62976,     104019,       1989,        100, 52.30,         66
Dom-3   , 38608,      81980,       1297,         37, 63.21,         43
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 184920,     345669,       7414,          0, 46.62,        247
Dom-1   , 91272,     181096,       4721,        543, 38.36,        157
Dom-2   , 57840,     107630,       1746,         89, 61.64,         58
Dom-3   , 35808,      81229,       1210,         34, 67.13,         40
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 183384,     342075,       7792,          0, 43.90,        259
Dom-1   , 103712,     180375,       5378,        641, 33.54,        179
Dom-2   , 46744,     103886,       1492,         77, 69.63,         49
Dom-3   , 32928,      78068,       1125,         30, 69.39,         37
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 180608,     361733,       7335,          0, 49.32,        244
Dom-1   , 89552,     199355,       4640,        557, 42.96,        154
Dom-2   , 48544,      94634,       1554,         85, 60.90,         51
Dom-3   , 42512,      87670,       1393,         38, 62.94,         46
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 196000,     359553,       7297,          0, 49.27,        243
Dom-1   , 83424,     193074,       4335,        504, 44.54,        144
Dom-2   , 59200,     102043,       1817,         86, 56.16,         60
Dom-3   , 39648,      84395,       1372,         36, 61.51,         45
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 187200,     360941,       7351,          0, 49.10,        245
Dom-1   , 82880,     182726,       4292,        507, 42.57,        143
Dom-2   , 62640,     109030,       1945,         98, 56.06,         64
Dom-3   , 41680,      91253,       1406,         37, 64.90,         46
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 193488,     350652,       7659,          0, 45.78,        255
Dom-1   , 94144,     179042,       4829,        601, 37.08,        160
Dom-2   , 57648,     104382,       1774,         92, 58.84,         59
Dom-3   , 41696,      89449,       1322,         33, 67.66,         44
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 186632,     353016,       7332,          0, 48.15,        244
Dom-1   , 84608,     189700,       4396,        524, 43.15,        146
Dom-2   , 57392,     103774,       1759,         86, 59.00,         58
Dom-3   , 44496,      86529,       1462,         35, 59.19,         48
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 194048,     361653,       7491,          0, 48.28,        249
Dom-1   , 83504,     188219,       4329,        521, 43.48,        144
Dom-2   , 56704,     102036,       1750,         84, 58.31,         58
Dom-3   , 53840,     106769,       1752,         37, 60.94,         58
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 188600,     365292,       7421,          0, 49.22,        247
Dom-1   , 81592,     189021,       4241,        523, 44.57,        141
Dom-2   , 59744,     105932,       1883,         92, 56.26,         62
Dom-3   , 47264,      96402,       1561,         35, 61.76,         52
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 188464,     358410,       7502,          0, 47.78,        250
Dom-1   , 88256,     191913,       4533,        564, 42.34,        151
Dom-2   , 48048,      93042,       1570,         76, 59.26,         52
Dom-3   , 52032,     101763,       1654,         36, 61.53,         55
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 199112,     363720,       7444,          0, 48.86,        248
Dom-1   , 76760,     178517,       3873,        491, 46.09,        129
Dom-2   , 62256,     109573,       1931,         91, 56.74,         64
Dom-3   , 60096,     101191,       1936,         38, 52.27,         64
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 193768,     378728,       7887,          0, 48.02,        262
Dom-1   , 91384,     193861,       4763,        556, 40.70,        158
Dom-2   , 49456,     104667,       1607,         75, 65.13,         53
Dom-3   , 52600,     105201,       1723,         34, 61.06,         57
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 200160,     397021,       7723,          0, 51.41,        257
Dom-1   , 81216,     213298,       4192,        508, 50.88,        139
Dom-2   , 63280,     112736,       2042,         92, 55.21,         68
Dom-3   , 55664,     113505,       1756,         33, 64.64,         58
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 199888,     393771,       7883,          0, 49.95,        262
Dom-1   , 85360,     197892,       4377,        499, 45.21,        145
Dom-2   , 59056,     103386,       1983,         94, 52.14,         66
Dom-3   , 55472,     110335,       1767,         34, 62.44,         58
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 197040,     398392,       7873,          0, 50.60,        262
Dom-1   , 83936,     201989,       4410,        538, 45.80,        147
Dom-2   , 60112,     115265,       1999,         84, 57.66,         66
Dom-3   , 52992,     107615,       1715,         35, 62.75,         57
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 196720,     374778,       7386,          0, 50.74,        246
Dom-1   , 66720,     208972,       3434,        418, 60.85,        114
Dom-2   , 68064,     125452,       2262,         93, 55.46,         75
Dom-3   , 61936,     108649,       1994,         41, 54.49,         66
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 184720,     361170,       7759,          0, 46.55,        258
Dom-1   , 91504,     183055,       4747,        571, 38.56,        158
Dom-2   , 52784,     104961,       1804,         74, 58.18,         60
Dom-3   , 40432,      98680,       1399,         31, 70.54,         46
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 186920,     375581,       7572,          0, 49.60,        252
Dom-1   , 77224,     191054,       3991,        476, 47.87,        133
Dom-2   , 64368,     124633,       2136,         77, 58.35,         71
Dom-3   , 45328,      98087,       1665,         39, 58.91,         55
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 190688,     384107,       7727,          0, 49.71,        257
Dom-1   , 84128,     187249,       4297,        516, 43.58,        143
Dom-2   , 56768,     114061,       1928,         77, 59.16,         64
Dom-3   , 49792,     102582,       1730,         42, 59.30,         57
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 191800,     389791,       7865,          0, 49.56,        262
Dom-1   , 90944,     200146,       4688,        544, 42.69,        156
Dom-2   , 57776,     116839,       1925,         71, 60.70,         64
Dom-3   , 43080,      92110,       1497,         35, 61.53,         49
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 185096,     374634,       7737,          0, 48.42,        257
Dom-1   , 90480,     187763,       4680,        572, 40.12,        156
Dom-2   , 54176,     119752,       1809,         71, 66.20,         60
Dom-3   , 40112,      96495,       1432,         37, 67.38,         47
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 183624,     353906,       7502,          0, 47.17,        250
Dom-1   , 84472,     182791,       4332,        555, 42.20,        144
Dom-2   , 54240,     107961,       1868,         79, 57.79,         62
Dom-3   , 44912,      98604,       1531,         37, 64.40,         51
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 187200,     368118,       7788,          0, 47.27,        259
Dom-1   , 88656,     193711,       4574,        558, 42.35,        152
Dom-2   , 54592,     110205,       1874,         77, 58.81,         62
Dom-3   , 43952,      92318,       1557,         41, 59.29,         51
Domain  , r_sectors,       r_ms,    r_total,        TPS,  avgRdWait,     read/s
Dom-0   , 184640,     368432,       7430,          0, 49.59,        247
Dom-1   , 78832,     206565,       4106,        490, 50.31,        136
Dom-2   , 60816,     121735,       2042,         85, 59.62,         68
Dom-3   , 44992,      93387,       1531,         42, 61.00,         51
